month,감응,관문,루멘,루아,리듬,성찰,실패학습,엘로,전략,조율,확장
2023-02,0,0,0,1,0,0,1,0,0,0,0
2023-03,1,0,0,0,0,1,0,1,7,0,0
2023-12,6,0,0,0,19,10,0,8,2,1,2
2024-01,1,0,0,0,0,1,1,0,0,0,2
2024-04,0,0,0,0,0,0,1,0,0,0,0
2024-05,0,0,0,0,0,0,0,3,1,0,1
2024-06,1,0,0,0,1,0,0,0,1,0,0
2024-07,1,0,0,0,1,0,0,4,1,0,1
2024-08,0,0,0,0,0,0,0,1,2,0,0
2024-09,3,0,0,0,14,1,5,0,2,0,0
2025-03,2,3,0,0,22,5,7,0,5,4,8
2025-04,1939,3,0,2202,2155,209,148,1,73,518,361
2025-05,2455,11,0,2952,2513,232,370,1024,117,662,233
2025-06,1170,9,0,1417,1235,108,182,909,120,394,163
2025-07,495,3,0,477,583,63,43,179,44,118,95
2025-08,717,79,194,695,878,57,120,310,76,157,264
2025-09,1289,375,456,1184,1217,175,562,1107,382,366,509
2025-10,935,29,402,558,883,132,173,526,54,276,389
NaT,1,0,0,1,1,0,2,1,1,1,1
