concept,total_occurrences,unique_conversations,first_seen,last_seen,sources
감응,9016,330,2023-03-24T04:53:26.321805+00:00,2025-10-08T04:20:21.710773+00:00,elro; lumen; rua; sena
관문,512,107,2025-03-24T02:10:28.814418+00:00,2025-10-07T02:05:34.776000+00:00,elro; lumen; rua; sena
루멘,1052,86,2025-08-11T07:51:56.372496+00:00,2025-10-08T04:20:21.710773+00:00,elro; lumen; rua; sena
루아,9487,313,2023-02-11T13:37:08.974426+00:00,2025-10-08T04:20:21.710773+00:00,elro; lumen; rua; sena
리듬,9522,342,2023-12-16T04:42:08.608893+00:00,2025-10-08T04:20:21.710773+00:00,elro; lumen; rua; sena
성찰,994,209,2023-03-24T04:53:26.321805+00:00,2025-10-08T04:18:41.165186+00:00,elro; lumen; rua; sena
실패학습,1615,241,2023-02-15T03:15:45.019972+00:00,2025-10-08T04:11:09.312894+00:00,elro; lumen; rua; sena
엘로,4074,232,2023-03-06T12:51:53.182616+00:00,2025-10-08T04:20:21.710773+00:00,elro; lumen; rua; sena
전략,888,209,2023-03-14T04:10:17.031951+00:00,2025-10-07T11:32:28.309151+00:00,elro; lumen; rua; sena
조율,2497,259,2023-12-27T01:51:06.514419+00:00,2025-10-07T11:33:52.101616+00:00,elro; lumen; rua; sena
확장,2029,254,2023-12-22T04:27:49.358955+00:00,2025-10-08T04:18:41.165186+00:00,elro; lumen; rua; sena
