category,concept,matches,match_total,share
action_plan,리듬,4348,20800,0.20903846153846153
action_plan,감응,4210,20800,0.20240384615384616
action_plan,루아,3752,20800,0.1803846153846154
action_plan,엘로,2094,20800,0.10067307692307692
action_plan,조율,1554,20800,0.07471153846153847
action_plan,확장,1290,20800,0.06201923076923077
action_plan,실패학습,1141,20800,0.05485576923076923
action_plan,전략,956,20800,0.04596153846153846
action_plan,루멘,589,20800,0.028317307692307694
action_plan,성찰,539,20800,0.025913461538461538
action_plan,관문,327,20800,0.015721153846153847
alignment,감응,4305,19965,0.21562734785875282
alignment,리듬,4182,19965,0.2094665664913599
alignment,루아,3197,19965,0.16013022789882295
alignment,조율,2868,19965,0.14365138993238166
alignment,엘로,1657,19965,0.08299524167292763
alignment,확장,1054,19965,0.0527923866766842
alignment,실패학습,806,19965,0.040370648635111445
alignment,성찰,681,19965,0.03410969196093163
alignment,루멘,557,19965,0.027898822940145254
alignment,전략,383,19965,0.01918357124968695
alignment,관문,275,19965,0.013774104683195593
cross_persona,루아,10093,36097,0.27960772363354297
cross_persona,리듬,6891,36097,0.19090229104911766
cross_persona,감응,6760,36097,0.18727318059672549
cross_persona,엘로,4409,36097,0.12214311438623708
cross_persona,조율,2232,36097,0.061833393356788655
cross_persona,확장,1367,36097,0.037870183117710614
cross_persona,실패학습,1296,36097,0.03590326065878051
cross_persona,루멘,1057,36097,0.029282211818156635
cross_persona,성찰,789,36097,0.021857772114026095
cross_persona,전략,732,36097,0.02027869352023714
cross_persona,관문,471,36097,0.013048175748677176
self_reflection,리듬,7330,30442,0.24078575652059656
self_reflection,감응,7229,30442,0.23746797188095395
self_reflection,루아,6172,30442,0.20274620589974376
self_reflection,엘로,2323,30442,0.07630904671177978
self_reflection,조율,2196,30442,0.07213717889757572
self_reflection,확장,1569,30442,0.0515406346494974
self_reflection,실패학습,1258,30442,0.04132448590762762
self_reflection,성찰,1064,30442,0.03495171145128441
self_reflection,전략,592,30442,0.019446816897707116
self_reflection,루멘,470,30442,0.015439195847841798
self_reflection,관문,239,30442,0.007850995335391893
signal_check,리듬,10041,36530,0.27486996988776347
signal_check,감응,8019,36530,0.2195182042157131
signal_check,루아,6552,36530,0.17935943060498222
signal_check,엘로,2891,36530,0.07914043252121544
signal_check,조율,2609,36530,0.0714207500684369
signal_check,확장,1860,36530,0.050917054475773334
signal_check,실패학습,1560,36530,0.042704626334519574
signal_check,성찰,1010,36530,0.02764850807555434
signal_check,전략,900,36530,0.024637284423761292
signal_check,루멘,693,36530,0.018970709006296195
signal_check,관문,395,36530,0.010813030385984123
uncertainty,리듬,6354,28365,0.22400846113167636
uncertainty,감응,6328,28365,0.22309183853340384
uncertainty,루아,5699,28365,0.20091662259827253
uncertainty,엘로,2580,28365,0.09095716552088842
uncertainty,조율,1829,28365,0.06448087431693988
uncertainty,확장,1661,28365,0.05855808214348669
uncertainty,실패학습,1273,28365,0.04487925260003525
uncertainty,전략,808,28365,0.028485809977084435
uncertainty,성찰,797,28365,0.028098008108584524
uncertainty,루멘,691,28365,0.0243610082848581
uncertainty,관문,345,28365,0.012162876784769964
