month,category,matches,unique_concepts
2023-02,action_plan,1,1
2023-03,action_plan,6,1
2023-12,action_plan,7,2
2024-04,action_plan,1,1
2024-06,action_plan,5,5
2024-07,action_plan,5,4
2024-08,action_plan,2,2
2024-09,action_plan,12,5
2025-03,action_plan,39,8
2025-04,action_plan,3045,10
2025-05,action_plan,4506,10
2025-06,action_plan,3091,10
2025-07,action_plan,1027,10
2025-08,action_plan,1541,11
2025-09,action_plan,4979,11
2025-10,action_plan,2217,11
2023-03,alignment,1,1
2023-12,alignment,2,2
2024-09,alignment,2,2
2025-03,alignment,12,6
2025-04,alignment,3404,10
2025-05,alignment,4597,10
2025-06,alignment,2944,10
2025-07,alignment,1069,10
2025-08,alignment,1457,11
2025-09,alignment,3336,11
2025-10,alignment,2494,11
2023-02,cross_persona,1,1
2023-12,cross_persona,1,1
2024-09,cross_persona,1,1
2025-03,cross_persona,4,2
2025-04,cross_persona,5644,10
2025-05,cross_persona,10138,10
2025-06,cross_persona,5494,10
2025-07,cross_persona,1775,10
2025-08,cross_persona,2671,11
2025-09,cross_persona,6317,11
2025-10,cross_persona,3350,11
2023-03,self_reflection,1,1
2023-12,self_reflection,10,5
2024-01,self_reflection,2,2
2024-04,self_reflection,1,1
2024-06,self_reflection,2,2
2024-09,self_reflection,12,4
2025-03,self_reflection,36,8
2025-04,self_reflection,5873,10
2025-05,self_reflection,8332,10
2025-06,self_reflection,4098,10
2025-07,self_reflection,1598,10
2025-08,self_reflection,2393,11
2025-09,self_reflection,3880,11
2025-10,self_reflection,3453,11
2023-03,signal_check,3,1
2023-12,signal_check,3,2
2024-01,signal_check,1,1
2024-05,signal_check,1,1
2024-06,signal_check,4,4
2024-07,signal_check,5,4
2024-09,signal_check,15,3
2025-03,signal_check,43,8
2025-04,signal_check,6465,10
2025-05,signal_check,9604,10
2025-06,signal_check,5026,10
2025-07,signal_check,1933,10
2025-08,signal_check,2980,11
2025-09,signal_check,5921,11
2025-10,signal_check,3676,11
2023-03,uncertainty,1,1
2023-12,uncertainty,20,7
2024-01,uncertainty,1,1
2024-04,uncertainty,1,1
2024-05,uncertainty,4,2
2024-07,uncertainty,4,1
2024-08,uncertainty,1,1
2024-09,uncertainty,3,1
2025-03,uncertainty,49,8
2025-04,uncertainty,4949,10
2025-05,uncertainty,6745,10
2025-06,uncertainty,3371,10
2025-07,uncertainty,1061,10
2025-08,uncertainty,2505,11
2025-09,uncertainty,5409,11
2025-10,uncertainty,3952,11
