concept_a,concept_b,cooccurrences
감응,리듬,7174
감응,루아,5826
루아,리듬,5729
루아,엘로,2650
리듬,엘로,2291
감응,엘로,2242
리듬,조율,2167
감응,조율,2141
루아,조율,1682
감응,확장,1544
리듬,확장,1527
리듬,실패학습,1089
감응,실패학습,1068
루아,확장,1029
엘로,조율,938
루아,실패학습,870
감응,성찰,833
리듬,성찰,826
루아,성찰,607
엘로,확장,601
루멘,리듬,577
조율,확장,543
감응,루멘,538
리듬,전략,509
감응,전략,488
실패학습,엘로,476
루멘,루아,455
루멘,엘로,448
실패학습,조율,448
루아,전략,411
관문,루멘,364
실패학습,확장,345
성찰,조율,342
관문,리듬,310
엘로,전략,289
루멘,조율,276
성찰,확장,276
관문,루아,274
감응,관문,265
전략,확장,232
관문,엘로,230
성찰,실패학습,226
성찰,엘로,226
전략,조율,200
실패학습,전략,195
루멘,확장,189
관문,조율,153
루멘,실패학습,119
관문,확장,114
관문,실패학습,104
루멘,성찰,84
루멘,전략,84
성찰,전략,71
관문,전략,68
관문,성찰,51
